herb_en_name,herb_cn_name,MOL_Num,Target_Num,walk_score,herb_INDEX
A. Dahurica (Fisch.) Benth. Et Hook,白芷,39,10,10.31072332,0
Aauropi Folium,龙脷叶,8,5,0.195529867,1
Abri Herba,鸡骨草,18,9,197.6227758,2
Abrus Precatorius L.,相思子,11,9,17.54720714,3
Abutili Semen,苘麻子,6,6,0.024037281,4
Achyranthis Asperae Herba,倒扣草,25,10,3.115647224,5
Achyranthis Bidentatae Radix,牛膝,36,13,4.365638317,6
Aconiti Lateralis Radix Praeparata,附子,12,7,2.147646772,7
Aconiti Radix,川乌,5,4,0.11557758,8
Aconitum Kusnezoffii Reichb,草乌,8,7,0.665161189,9
Acoritataninowii Rhizoma,石菖蒲,78,11,4.796230892,10
Actinidia Chinensis Planch,猕猴桃根,17,10,0.864010146,11
Adenophprae Ae Radix,南沙参,23,8,1.107914311,12
Agrimonia Eupatoria,仙鹤草,31,12,16.98138863,13
Ailanthi Altissimae Fructus,凤眼草,10,10,0.397302563,14
Ailanthi Cortex,椿皮,52,11,8.738574764,15
Ajugae Decumbentis Herba,白毛夏枯草,4,9,13.80505433,16
Akebiae Frucyus,预知子,6,9,0.09369169,17
Alisma Orientale (Sam.) Juz.,泽泻,13,8,0.884066363,18
Allii Fistulost Bulbus,葱白,46,10,1.993940648,19
Allii Sativi Bulbus,大蒜,4,3,0.037875715,20
Allii Tuberosi Semen,韭菜子,17,11,0.1985771,21
Allium Azureum Ledeb.,薤白,34,11,3.509205977,22
Aloe,芦荟,25,10,4.06288374,23
Alpinia Katsumadai Hayat,豆蔻,56,11,26.55321157,24
Alpiniae Officinarum Rhizome,高良姜,96,11,8.717401386,25
Alpiniae Oxyphyliae Fructus,益智,22,9,1.584142992,26
Amomum Aurantiacum H. T. Tsai Et S. W. Zhao,砂仁,109,13,8.780971116,27
Amomum Tsao-Ko Crevostet,草果,22,9,2.352274324,28
Ampelopsis Japonica,白蔹,21,11,1.382894117,29
Amygdalus Communis Vas,苦杏仁,41,11,0.844126633,30
Andrographis Herba,穿心莲,31,8,13.94554836,31
Anemarrhenae Rhizoma,知母,23,8,3.101699814,32
Angelicae Sinensis Radix,当归,66,10,3.371495113,33
Anisi Stellati Fructus,八角茴香,40,11,14.95772448,34
Anisodus Acutangulus C. Y. Wu Et C .Chen Ex C. Che,三分三,5,4,0.108350074,35
Apocyniveneti Folium,罗布麻叶,32,11,16.14082126,36
Ardisiae Japonicae Herba,矮地茶,84,11,4.79456864,37
Areca Catechu L.,大腹皮,7,7,0.936654049,38
Arecae Semen,槟榔,38,11,2.39129991,39
Arisaematis Rhizoma,天南星,48,10,1.263952907,40
Aristolochiae Fructus,马兜铃,56,9,15.3432709,41
Artemisia Annua L.,青蒿,80,11,36.64540406,42
Artemisiae Scopariae Herba,茵陈,34,12,11.91994823,43
Arum Ternatum Thunb.,半夏,65,12,9.492345581,44
Asari Radix Et Rhizoma,细辛,53,11,7.188354669,45
Asparagi Radix,天冬,14,10,2.360558057,46
Asteris Radix Et Rhizoma,紫菀,33,11,19.57937838,47
Astragali Cpmplanatisemen,沙苑子,28,11,1.990709514,48
Atractylodes Lancea (Thunb.)Dc.,苍术,22,8,1.677889385,49
Atractylodes Macrocephala Koidz.,白术,43,11,5.081589706,50
Aucklandiae Radix,木香,81,10,3.480262628,51
Aurantii Fructus,枳壳,12,8,1.979161242,52
Aurantii Fructus Immaturus,枳实,38,8,23.69442842,53
Bamusaeconcretiosilicea,天竺黄,16,6,2.620106513,54
Belamcandae Rhizome,射干,31,9,26.9461421,55
Benincasae Exocarpium,冬瓜皮,1,1,0.00090853,56
Benincasae Semen,冬瓜子,4,5,0.037612262,57
Benzoinum,安息香,39,9,5.835243376,58
Bidentis Bipinnatae Herba,鬼针草,35,11,16.84348559,59
Bistortae Rhizoma,拳参,13,11,0.215980281,60
Bletilla Striata (Thunb.Ex A.Murray)Rchb.F.,白及,18,6,11.53932637,61
Boehmeriae Rhizoma Et Radix,苎麻根,19,10,1.259477867,62
Bolbostemae Paniculati Bulbus,土贝母,10,9,0.945594877,63
Bomboo Juice,竹沥,21,8,6.872321377,64
Bombyx Mori L.,蚕沙,21,12,310.9362259,65
Borneolum Syntheticum,冰片,20,7,0.252445675,66
Boschniakia Rossica Herba,草苁蓉,8,8,0.183282429,67
Bovis Calculus,牛黄,4,5,0.177651288,68
Broussonetiae Fructus,楮实子,55,12,17.67836474,69
Bruceae Fructus,鸦胆子,7,9,14.49752398,70
Buddlejae Flos,密蒙花,13,5,14.77613007,71
Calendula Officinalis,金盏菊花,11,9,0.127410364,72
Calyx Cucumis,瓜蒂,1,1,0.001574786,73
Calyx Seu Fructus Physalis,锦灯笼,23,11,13.91495295,74
Campsis Flos,凌霄花,72,13,4.435283816,75
Canarii Fructus,青果,32,10,1.24116501,76
Canavaliae Semen,刀豆,5,7,0.044173174,77
Cannabis Sativa L.,火麻仁,29,12,14.02135227,78
Capsellae Herba,荠菜,35,12,13.91110234,79
Capsici Fructus,辣椒,87,14,318.9115201,80
Carpesiumabrotanoidesl.,鹤虱,2,5,0.002645645,81
Carthami Flos,红花,81,12,20.4243557,82
