herb_cn_name,herb_INDEX
罗布麻叶,0
大腹皮,1
槟榔,2
扁豆花,3
赤小豆,4
金荞麦,5
相思子,6
仙鹤草,7
白毛夏枯草,8
豆蔻,9
八角茴香,10
青蒿,11
紫菀,12
枳实,13
射干,14
鬼针草,15
楮实子,16
鸦胆子,17
密蒙花,18
锦灯笼,19
火麻仁,20
红花,21
乌敛莓,22
鸡冠花,23
菊花,24
野菊花,25
菊苣,26
党参,27
鸭跖草,28
芫荽,29
香茅,30
香附,31
白鲜皮,32
骨碎补,33
禹州漏芦,34
墨旱莲,35
麻黄,36
淫羊藿,37
木贼,38
佩兰,39
泽漆,40
芫花,41
连翘,42
南鹤虱,43
女贞子,44
老鹳草,45
银杏叶,46
连钱草,47
鼠曲草,48
木棉花,49
石榴皮,50
败酱草,51
贯叶金丝桃,52
麦芽,53
葎草,54
大风子,55
旋覆花,56
金沸草,57
灯心草,58
半边莲,59
金银花,60
冬葵果,61
玉米须,62
薄荷,63
香薷,64
莲子心,65
莲须,66
花生衣,67
紫苏,68
紫苏子,69
余甘子,70
车前草,71
桔梗,72
萹蓄,73
虎杖,74
马齿苋,75
夏枯草,76
太子参,77
凤尾草,78
丹参,79
檀香,80
天山雪莲,81
荆芥,82
荆芥穗,83
半枝莲,84
垂盆草,85
北刘寄奴,86
苦参,87
鸡血藤,88
浮萍,89
络石藤,90
胡芦巴,91
马鞭草,92
仙桃草,93
蔓荆子,94
防风,95
白花菜子,96
苍耳子,97
白术,98
猕猴桃根,99
草果,100
白蔹,101
儿茶,102
南蛇藤果,103
木瓜,104
桂枝,105
山楂叶,106
黄药子,107
杜仲,108
荷叶,109
大皂荚,110
皂角刺,111
鹿衔草,112
沙棘,113
荔枝核,114
金钱草,115
黄芩,116
娑罗子,117
钩藤,118
牛膝,119
凤眼草,120
椿皮,121
薤白,122
芦荟,123
高良姜,124
矮地茶,125
茵陈,126
天冬,127
沙苑子,128
拳参,129
苎麻根,130
金盏菊花,131
青果,132
丁香,133
积雪草,134
鹅不食草,135
广枣,136
肉苁蓉,137
黄连,138
牡丹皮,139
延胡索,140
瓦松,141
西红花,142
菟丝子,143
川牛膝,144
洋金花,145
八角莲,146
麻黄根,147
枇杷叶,148
谷精草,149
墓头回,150
杜仲叶,151
鬼箭羽,152
地锦草,153
吴茱萸,154
款冬花,155
艾叶,156
枸骨叶,157
槐角,158
栀子,159
白果,160
人参叶,161
北沙参,162
绞股蓝,163
白花蛇舌草,164
红芪,165
黄芪,166
小蓟,167
铁线透骨草,168
肿节风,169
桑寄生,170
鱼腥草,171
枳椇子,172
地耳草,173
苦丁茶,174
四季青,175
凤仙透骨草,176
急性子,177
大枣,178
柿蒂,179
益母草,180
葶苈子,181
沉香,182
荜澄茄,183
猫眼草,184
枸杞子,185
布渣叶,186
月季花,187
桑叶,188
桑椹,189
乌梅,190
没药,191
木蝴蝶,192
鸡屎藤,193
三七,194
前胡,195
关黄柏,196
黄柏,197
车前子,198
侧柏叶,199
广藿香,200
蒲黄,201
水红花子,202
委陵菜,203
翻白草,204
蕤仁,205
葛花,206
石韦,207
柴胡,208
地榆,209
莲房,210
满山红,211
闹羊花,212
金樱子,213
玫瑰花,214
覆盆子,215
石见穿,216
无患子皮,217
海藻,218
三白草,219
虎耳草,220
郁李仁,221
水飞蓟,222
土茯苓,223
龙葵,224
一枝黄花,225
槐花,226
山豆根,227
小通草,228
西河柳,229
川楝子,230
金莲花,231
王不留行,232
