herb_cn_name,herb_en_name,herb_INDEX
矮地茶,Ardisiae Japonicae Herba,0
艾叶,Folium Artemisiae Argyi,1
安息香,Benzoinum,2
八角茴香,Anisi Stellati Fructus,3
八角莲,Dysosmae Verspiellis Rhixoma Et Radix,4
巴豆,Crotonis Fructus,5
巴戟天,Morindae Officinalis Radix,6
菝葜,Smilax China,7
白扁豆,Lablab Semen Album,8
白附子,Typhonii Rhizoma,9
白果,Ginkgo Semen,10
白花菜子,Semen Cleomis,11
白花蛇舌草,Hedyotis Diffusae Herba,12
白及,Bletilla Striata (Thunb.Ex A.Murray)Rchb.F.,13
白蔹,Ampelopsis Japonica,14
白毛藤,Herba Solani Lyrati,15
白毛夏枯草,Ajugae Decumbentis Herba,16
白茅根,Imperatae Rhizoma,17
白前,Cynanchistauntonii Rhizoma Et Radix,18
白屈菜,Chelidonii Herba,19
白芍,Paeoniae Radix Alba,20
白术,Atractylodes Macrocephala Koidz.,21
白头翁,Pulsatilliae Radix,22
白薇,Radix Cynanchi,23
白鲜皮,Dictamni Cortex,24
白药子,Radix Stephaniae Cepharanthae.,25
白芷,A. Dahurica (Fisch.) Benth. Et Hook,26
百部,Stemonae Radix,27
百合,Lilii Bulbus,28
柏子仁,Platycladi Semen,29
败酱草,Herba Patriniae,30
斑蝥,Mylabris,31
板蓝根,Isatidis Radix,32
半边莲,Lobeliae Chinensis Herba,33
半夏,Arum Ternatum Thunb.,34
半枝莲,Scutellariae Barbatae Herba,35
薄荷,Menthae Herba,36
北豆根,Menispermi Rhizoma,37
北刘寄奴,Siphonostegiae Herba,38
北沙参,Glehniae Radix,39
北五味子,Schisandrae Chinensis Fructus,40
荜茇,Piperis Longi Fructus,41
荜澄茄,Litseae Fructus,42
蓖麻子,Ricini Semen,43
萹蓄,Polygoni Avicularis Herba,44
扁豆花,Dolichos Lablab L,45
槟榔,Arecae Semen,46
冰片,Borneolum Syntheticum,47
布渣叶,Microctis Folium,48
蚕沙,Bombyx Mori L.,49
苍耳子,Xanthii Fructus,50
苍术,Atractylodes Lancea (Thunb.)Dc.,51
