	MOL_ID	MOL_INDEX
0	MOL000002	0
1	MOL000004	1
2	MOL000006	2
3	MOL000007	3
4	MOL000008	4
5	MOL000009	5
6	MOL000011	6
7	MOL000012	7
8	MOL000018	8
9	MOL000019	9
10	MOL000022	10
11	MOL000023	11
12	MOL000024	12
13	MOL000025	13
14	MOL000027	14
15	MOL000029	15
16	MOL000030	16
17	MOL000031	17
18	MOL000032	18
19	MOL000034	19
20	MOL000035	20
21	MOL000036	21
22	MOL000037	22
23	MOL000038	23
24	MOL000039	24
25	MOL000040	25
26	MOL000041	26
27	MOL000042	27
28	MOL000043	28
29	MOL000044	29
30	MOL000045	30
31	MOL000046	31
32	MOL000047	32
33	MOL000048	33
34	MOL000049	34
35	MOL000050	35
36	MOL000052	36
37	MOL000054	37
38	MOL000056	38
39	MOL000057	39
40	MOL000058	40
41	MOL000060	41
42	MOL000061	42
43	MOL000064	43
44	MOL000065	44
45	MOL000066	45
46	MOL000067	46
47	MOL000068	47
48	MOL000069	48
49	MOL000071	49
50	MOL000072	50
51	MOL000073	51
52	MOL000098	52
53	MOL000100	53
54	MOL000105	54
55	MOL000112	55
56	MOL000114	56
57	MOL000116	57
58	MOL000118	58
59	MOL000119	59
60	MOL000122	60
61	MOL000125	61
62	MOL000126	62
63	MOL000128	63
64	MOL000130	64
65	MOL000131	65
66	MOL000135	66
67	MOL000141	67
68	MOL000162	68
69	MOL000165	69
70	MOL000166	70
71	MOL000168	71
72	MOL000169	72
73	MOL000170	73
74	MOL000171	74
75	MOL000173	75
76	MOL000175	76
77	MOL000178	77
78	MOL000180	78
79	MOL000188	79
80	MOL000190	80
81	MOL000193	81
82	MOL000194	82
83	MOL000196	83
84	MOL000198	84
85	MOL000199	85
86	MOL000200	86
87	MOL000202	87
88	MOL000203	88
89	MOL000204	89
90	MOL000205	90
91	MOL000206	91
92	MOL000207	92
93	MOL000208	93
94	MOL000210	94
95	MOL000217	95
96	MOL000219	96
97	MOL000223	97
98	MOL000228	98
99	MOL000232	99
100	MOL000233	100
101	MOL000234	101
102	MOL000239	102
103	MOL000244	103
