"(0.00015737158166649048, ['茯苓', '桂枝', '生姜', '当归', '干姜', '白术', '断血流', '八角莲', '大枣', '附子'])"
"(0.0001504797439144298, ['茯苓', '桂枝', '生姜', '白术', '八角茴香', '麻黄', '厚朴', '附子', '当归', '干姜'])"
"(0.00014903586965880517, ['茯苓', '桂枝', '生姜', '巴豆', '干姜', '麻黄', '牡丹皮', '当归', '附子', '白术'])"
"(0.0001485164904301632, ['桂枝', '生姜', '茯苓', '厚朴', '当归', '枸杞子', '干姜', '人参', '白术', '党参'])"
"(0.00014193822788739513, ['茯苓', '桂枝', '生姜', '十大功劳根', '当归', '马兜铃', '白术', '银柴胡', '大枣', '干姜'])"
"(0.00014193822788739513, ['茯苓', '桂枝', '干姜', '生姜', '灯心草', '当归', '白术', '续断', '拳参', '大枣'])"
"(0.0001416373125468007, ['茯苓', '桂枝', '生姜', '附子', '麻黄', '大蓟', '白术', '浙贝母', '干姜', '当归'])"
"(0.00014033626757905266, ['茯苓', '桂枝', '当归', '生姜', '干姜', '附子', '白果', '白术', '升麻', '火麻仁'])"
"(0.0001391410461291404, ['茯苓', '桂枝', '当归', '生姜', '附子', '芦荟', '马兜铃', '干姜', '白术', '菊花'])"
"(0.00013848208373280093, ['茯苓', '桂枝', '生姜', '附子', '当归', '化橘红', '白术', '虎杖', '干姜', '艾叶'])"
"(0.0001382094096377639, ['茯苓', '生姜', '桂枝', '干姜', '附子', '肿节风', '桑寄生', '白术', '凤尾草', '当归'])"
"(0.0001382094096377639, ['茯苓', '生姜', '桂枝', '杜仲叶', '当归', '干姜', '景天三七', '附子', '白术', '马兜铃'])"
"(0.0001382094096377639, ['茯苓', '桂枝', '生姜', '白术', '木蝴蝶', '马兜铃', '附子', '干姜', '灯心草', '当归'])"
"(0.0001382094096377639, ['茯苓', '桂枝', '生姜', '干姜', '当归', '白术', '杜仲叶', '葎草', '附子', '伸筋草'])"
"(0.0001382094096377639, ['茯苓', '桂枝', '当归', '生姜', '附子', '干姜', '蒺藜', '白术', '萱草根', '墓头回'])"
"(0.0001382094096377639, ['茯苓', '桂枝', '生姜', '附子', '干姜', '白术', '当归', '小通草', '地榆', '枸杞子'])"
"(0.0001360332106697542, ['茯苓', '桂枝', '当归', '生姜', '槐角', '干姜', '沉香', '厚朴', '人参', '附子'])"
"(0.0001346032947308994, ['茯苓', '桂枝', '当归', '生姜', '银柴胡', '木蝴蝶', '大枣', '薤白', '白术', '附子'])"
"(0.00013213494494677844, ['茯苓', '桂枝', '生姜', '当归', '干姜', '小通草', '白鲜皮', '人参', '浮萍', '大枣'])"
"(0.00013120736610562576, ['茯苓', '桂枝', '生姜', '干姜', '浮萍', '牡丹皮', '当归', '葛花', '白术', '防风'])"
"(0.00013069496603536874, ['茯苓', '桂枝', '当归', '生姜', '虎耳草', '大枣', '附子', '干姜', '赤小豆', '马兜铃'])"
"(0.00012979286923762122, ['茯苓', '桂枝', '生姜', '八角茴香', '白薇', '当归', '白术', '断血流', '牡丹皮', '干姜'])"
"(0.0001297860523852453, ['茯苓', '桂枝', '生姜', '大枣', '浮萍', '当归', '银柴胡', '附子', '薤白', '干姜'])"
"(0.00012965653219010272, ['茯苓', '桂枝', '当归', '生姜', '干姜', '苦丁茶', '薤白', '香薷', '白术', '牡丹皮'])"
"(0.0001296497153377268, ['生姜', '茯苓', '桂枝', '干姜', '大枣', '红参', '当归', '川乌', '墓头回', '附子'])"
"(0.00012953155656321072, ['茯苓', '桂枝', '生姜', '银柴胡', '当归', '桔梗', '牡丹皮', '大枣', '干姜', '浮萍'])"
